Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27
22 Feb 2019 00:00:00.000,-360182.9942,-45532.469,13887.13669,   0.057336,  -1.006413,  -0.394574,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 00:15:00.000,-360130.166489, -46438.080092,  13531.974893,   0.060046,  -1.006049,  -0.394672,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 00:30:00.000,-360074.900300, -47343.360684,  13176.725936,   0.062755,  -1.005678,  -0.394767,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 00:45:00.000,-360017.196947, -48248.304728,  12821.392271,   0.065462,  -1.005301,  -0.394860,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 01:00:00.000,-359957.057782, -49152.906187,  12465.976357,   0.068168,  -1.004917,  -0.394950,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 01:15:00.000,-359894.484174, -50057.159034,  12110.480648,   0.070872,  -1.004526,  -0.395037,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 01:30:00.000,-359829.477511, -50961.057249,  11754.907598,   0.073574,  -1.004129,  -0.395122,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 01:45:00.000,-359762.039200, -51864.594820,  11399.259660,   0.076275,  -1.003725,  -0.395204,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 02:00:00.000,-359692.170665, -52767.765743,  11043.539285,   0.078975,  -1.003314,  -0.395283,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 02:15:00.000,-359619.873350, -53670.564020,  10687.748922,   0.081673,  -1.002897,  -0.395359,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 02:30:00.000,-359545.148716, -54572.983664,  10331.891020,   0.084369,  -1.002473,  -0.395433,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 02:45:00.000,-359467.998242, -55475.018694,   9975.968026,   0.087063,  -1.002042,  -0.395504,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 03:00:00.000,-359388.423427, -56376.663137,   9619.982384,   0.089756,  -1.001605,  -0.395572,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 03:15:00.000,-359306.425786, -57277.911031,   9263.936539,   0.092447,  -1.001161,  -0.395638,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 03:30:00.000,-359222.006853, -58178.756417,   8907.832933,   0.095137,  -1.000710,  -0.395701,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 03:45:00.000,-359135.168181, -59079.193350,   8551.674005,   0.097825,  -1.000253,  -0.395761,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 04:00:00.000,-359045.911338, -59979.215889,   8195.462196,   0.100511,  -0.999790,  -0.395818,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 04:15:00.000,-358954.237914, -60878.818103,   7839.199941,   0.103195,  -0.999319,  -0.395873,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 04:30:00.000,-358860.149514, -61777.994069,   7482.889678,   0.105877,  -0.998842,  -0.395925,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 04:45:00.000,-358763.647761, -62676.737873,   7126.533840,   0.108558,  -0.998359,  -0.395974,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 05:00:00.000,-358664.734297, -63575.043609,   6770.134858,   0.111237,  -0.997869,  -0.396021,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 05:15:00.000,-358563.410781, -64472.905381,   6413.695164,   0.113913,  -0.997372,  -0.396064,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 05:30:00.000,-358459.678891, -65370.317298,   6057.217187,   0.116588,  -0.996869,  -0.396106,,,,,,,,,,,,,,,,,,,,
22 Feb 2019 05:45:00.000,-358353.540319, -66267.273482,   5700.703352,   0.119262,  -0.996360,  -0.396144,,,,,,,,,,,,,,,,,,,,
